,Quantile,risk_aversion,Target,knn,cart,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.1,0.01,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.747612854246875,4.572185142483528,4.529921220087511,4.547509347045451,4.546626420236823,4.537613649393153,,,,,,,,,,
1,0.2,0.01,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.698427715846316,4.527115777729257,4.529921220087511,4.59258317031954,4.547274765362344,4.549768788911263,,,,,,,,,,
2,0.3,0.01,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.678032489938149,4.54831489289422,4.529921220087511,4.5781429514372585,4.543546817551332,4.549764175871431,,,,,,,,,,
3,0.4,0.01,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.666877146348313,4.5786673147993255,4.529921220087511,4.5638755467272265,4.552724786960919,4.553074209807825,,,,,,,,,,
4,0.5,0.01,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.661212041435862,4.614562232966646,4.529921220087511,4.534253587275385,4.541083946398149,4.532058944725825,,,,,,,,,,
5,0.6,0.01,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.660547140242802,4.64635579850583,4.529921220087511,4.558824324906052,4.556524236377821,4.547292077132551,,,,,,,,,,
6,0.7,0.01,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.661841641925656,4.646353317075408,4.529921220087511,4.604214083591522,4.60526719732355,4.590756645657992,,,,,,,,,,
7,0.8,0.01,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.665508206436942,4.620597721695126,4.529921220087511,4.692942940775265,4.689407029264726,4.564028610703852,,,,,,,,,,
8,0.9,0.01,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.686192701608209,4.563479108702351,4.529921220087511,4.661292714858187,4.672550666119194,4.565731094427519,,,,,,,,,,
9,0.1,0.2,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.707954370143354,4.533009194902679,4.529921226938389,4.567359770338721,4.565836017811165,4.527794739093884,4.438283263814925,4.4754893402612925,4.6469262320517295,5.076034719875104,4.491751209406577,4.5306126217816445,4.486952184110632,4.530678001743641,4.448273068836539,4.455449381014672
10,0.2,0.2,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.687565867669576,4.531724810600102,4.529921226938389,4.556447279356955,4.54335278931612,4.532059884726577,4.438350509474462,4.4336031066272295,4.77938134369424,5.076034719875104,4.524751513913172,4.543369881280358,4.489690047502799,4.543784206688926,4.441027238023613,4.468184163407464
11,0.3,0.2,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.675277616277045,4.543665486939881,4.529921226938389,4.557181097086048,4.548646470870867,4.537005891280275,4.437025019437702,4.4342840506311285,4.599976842808953,4.53031875416049,4.479101156797321,4.516366556989293,4.504673255675974,4.520570777228543,4.455969257296427,4.477333409130684
12,0.4,0.2,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.66735130224375,4.56881774005196,4.529921226938389,4.5381261772839485,4.53517400103461,4.532066364532663,4.438337640367098,4.4372492751634685,4.47778495796625,4.487854085474342,4.504116789178609,4.504178345919889,4.514379928642843,4.509384889010402,4.451590910088118,4.456648022976743
13,0.5,0.2,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.662000954842882,4.591018612062457,4.529921226938389,4.527244855769276,4.527156321466487,4.524742308350935,4.4335609915727545,4.435054286418987,4.448946165718724,4.442195816484977,4.454985347118106,4.476339820089605,4.47005066908542,4.512853369906567,4.442376624385856,4.451186507063325
14,0.6,0.2,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.6600603858133445,4.621807349567732,4.529921226938389,4.538184403200086,4.537913380123819,4.525882506917163,4.437976377050962,4.449345148033534,4.476431753873613,4.473402795538108,4.474510344021514,4.4817166500269945,4.463831403145821,4.503107971161832,4.450868033068182,4.477566751910674
15,0.7,0.2,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.660485190614465,4.619622829057927,4.529921226938389,4.592611432782177,4.575620442584604,4.536664083989595,4.43808758163609,4.446646518563126,4.492042570648257,4.509877063264853,4.498055454875638,4.4805195835701,4.469088108229767,4.432706245529388,4.455848849699678,4.452384025061007
16,0.8,0.2,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.659641056929286,4.620596789380829,4.529921226938389,4.628455361757842,4.61233745430709,4.540927466631247,4.433787968991429,4.444225418690033,4.537202103734024,5.076034719875104,4.443573481158645,4.451971919945621,4.460598488222764,4.553241825490882,4.444049851406049,4.482114195079225
17,0.9,0.2,2,5.412199578259515,5.734305733685278,5.076034719875104,5.030476608233846,4.711277098767052,4.662279048482177,4.592885637791711,4.529921226938389,4.629949295746292,4.600833849305453,4.545197799236013,4.437672370034809,4.443629163939152,5.0759884529008135,5.076034719875104,4.441349396346522,4.446858471281236,4.455575942878131,5.076034719839298,4.449129466062547,4.432854466435112
