,Quantile,risk_aversion,Target,knn,cart,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1
0,0.1,0.01,1,1.3805853014533318,1.5877207923835468,1.5707882407318574,1.332127936360875,1.2815432221266387,1.2861306088060882,1.306059171948766,1.2953811462793892,1.2820859284224435,1.2835152381052095,1.2946522171144037
1,0.2,0.01,1,2.176273547603312,2.4061240958858634,2.275124402131183,2.1243556521576648,2.039441182863083,2.0365415439559778,2.0053920253993,2.0143826899190302,2.030784262448574,2.03721705212296,2.0286849312231845
2,0.3,0.01,1,2.732953023622801,3.0764386306015057,2.71650027396136,2.6009730071677617,2.500948368954693,2.491632056895726,2.4331244559938647,2.4244351361770886,2.4478552001432603,2.4432086446246246,2.4488556668130768
3,0.4,0.01,1,3.1110958939216005,3.495833045159052,2.921180888574232,2.885754179484501,2.7287744325019885,2.7033709712219816,2.611486463466808,2.590489959895588,2.625260721869071,2.6203528302856,2.6211511189971923
4,0.5,0.01,1,3.259056871693127,3.682929821756312,2.930290531400161,2.994239459190852,2.771003674562201,2.716770146587319,2.6605946518202708,2.602307080022052,2.58946872505618,2.5800012190776216,2.588415851150501
5,0.6,0.01,1,3.2315612929973745,3.613728916207105,2.841472703472206,2.889125100460879,2.623464241491314,2.569836749333115,2.553424109026873,2.4890548985557737,2.4606380628035467,2.450505966573322,2.473755075278444
6,0.7,0.01,1,3.046786952521304,3.255085388569148,2.5301541735435698,2.580502203962388,2.324779203436989,2.257621303254614,2.3115766008179404,2.255780077471463,2.284712636713613,2.289310055333199,2.2867202249616367
7,0.8,0.01,1,2.533940004128075,2.7641974969550467,2.065776378856713,2.064630735118974,1.898618164000256,1.8866235844808767,1.884745645705468,1.856971088049088,1.8869987226821336,1.8799827719184097,1.8777375291937397
8,0.9,0.01,1,1.6996388562809357,1.8555580424967049,1.3041068567723155,1.3337871714317602,1.274840411066395,1.274840607946042,1.190957107832446,1.23569573662806,1.1907544577898972,1.1834090401094963,1.2010430169060011
9,0.1,0.2,1,1.6014805793554627,1.7747296515325468,1.7121932954728838,1.5338303767147203,1.4678794777394533,1.4630807889983035,1.4436025192342827,1.456627162339681,1.4520036940985503,1.4509563823543854,1.4556424529588659
10,0.2,0.2,1,2.129600313580236,2.3705153812326754,2.151164765751933,2.0059051021996344,1.9378632168811687,1.930344783583698,1.89894891287063,1.8971956706717963,1.9076570752535043,1.9062742201728682,1.901439182960156
11,0.3,0.2,1,2.5070561407852803,2.815570801995383,2.458622411875275,2.3525710206381003,2.2296358527576534,2.2132035502558782,2.166158639916127,2.158918383830332,2.176563347722586,2.1735993603554036,2.1674195841681754
